city_ascii,lat,lng,country,admin_name,population,id
Faridabad,28.4167,77.3,India,Haryana,1404653,1356013205
Aurangabad,19.88,75.32,India,Maharashtra,1371330,1356840670
Rajkot,22.3,70.7833,India,Gujarat,1335397,1356317190
Meerut,28.98,77.71,India,Uttar Pradesh,1305429,1356390476
Jabalpur,23.1667,79.9333,India,Madhya Pradesh,1267564,1356115460
Kalamboli,19.2333,73.1333,India,Maharashtra,1246381,1356537020
Vasai,19.47,72.8,India,Maharashtra,1222390,1356707797
Najafgarh,28.6092,76.9798,India,Delhi,1203180,1356180206
Varanasi,25.3189,83.0128,India,Uttar Pradesh,1198491,1356145782
Srinagar,34.09,74.79,India,Jammu and Kashmir,1180570,1356442950
Dhanbad,23.7998,86.4305,India,Jharkhand,1162472,1356103392
Amritsar,31.64,74.86,India,Punjab,1132383,1356926507
Aligarh,27.88,78.08,India,Uttar Pradesh,1131160,1356076391
Guwahati,26.1722,91.7458,India,Assam,1116267,1356593800
Haora,22.58,88.3294,India,West Bengal,1077075,1356986516
Ranchi,23.36,85.33,India,Jharkhand,1073440,1356110588
Gwalior,26.2215,78.178,India,Madhya Pradesh,1069276,1356363967
Chandigarh,30.75,76.78,India,Chandigarh,1055450,1356739179
Vijayawada,16.5193,80.6305,India,Andhra Pradesh,1048240,1356807575
Jodhpur,26.28,73.02,India,Rajasthan,1033918,1356727084
Raipur,21.25,81.63,India,Chhattisgarh,1010087,1356374983
Kota,25.18,75.83,India,Rajasthan,1001694,1356820310
Bareilly,28.364,79.415,India,Uttar Pradesh,1000000,1356698199
Coimbatore,11.0168,76.9558,India,Tamil Nadu,959823,1356999503
Solapur,17.68,75.92,India,Maharashtra,951558,1356314385
Trichinopoly,10.7903,78.7047,India,Tamil Nadu,916857,1356884472
Moradabad,28.8389,78.7769,India,Uttar Pradesh,887871,1356269375
Tiruppur,11.1085,77.3411,India,Tamil Nadu,877778,1356539761
Gurgaon,28.456,77.029,India,Haryana,876824,1356836043
Jalandhar,31.2569,75.4432,India,Punjab,873725,1356494816
